,ID,Created_at,Location,text,label
806,20657,5/2/2011 2:12,42.22596 93.33325,What you get by reaching your destination is not nearly as important as what you will become by reaching your destination.,0
823,21026,5/3/2011 19:11,42.29702 93.51339,THE LONG RUN; Teaching Law  Testing Ideas  Obama Stood Slightly Apart,0
844,21524,5/13/2011 12:01,42.16847 93.42672,Is really really really really REALLY cold!&gt;.&lt;,0
859,21892,5/15/2011 15:11,42.26754 93.45787,also got a major headache... worst day ever. and I know for sure that my audition tomorrow wil be a disaster...,1
860,21905,5/15/2011 15:01,42.2926 93.47225,Need lotion cold make n my fingers crack... Ouch!,0
872,22046,5/16/2011 1:42,42.24513 93.46306,I know all these people who have weird coughs  eye issues  and headaches since May. #oilspill #BP,0
878,22216,5/15/2011 18:43,42.29466 93.39516,#dontyoujusthateitwhen you make a lovely brew but then you forget about it & it goes all coldddd-.-!,0
887,22454,5/15/2011 8:34,42.28316 93.37719,Well I'm about to spend my cold life  cutting corners  placing blame  & any moment this could catch fire.,0
902,22955,5/11/2011 0:05,42.22125 93.34084,Corin getting hot flushes over the mini JJ while her girlfriend is watching  cruel but funny... #bb11,0
929,23614,5/10/2011 17:03,42.25574 93.31808,IN THE REGION | NEW JERSEY; In Market Reports  Some Affluent Towns Do Better Than Others - In the Region/New Jersey,0
935,23697,5/4/2011 6:10,42.21476 93.3676,Inhaled snowflakes  flubbed quick-changes  stalled-out Christmas trees: What are your best (worst!) #Nutcracker disaster stories?,0
938,23712,5/14/2011 0:07,42.20621 93.26016,A wonderfully breezy Saturday afternoon. A major breath of fresh air! Thanks for last night's gentle rainfall  too.,0
960,24253,5/16/2011 5:54,42.18085 93.20664,Btw I did stop and buy a toothbrush and toothpaste and now my breath is amazingly fresh! #Oohoohh,0
997,25138,5/2/2011 16:19,42.24601 93.35522,...a cute light jacket that is warmer than a sweatshirt but not a winter coat...,0
1007,25671,5/4/2011 2:02,42.241 93.34803,Not a good day  got a cold  my jaw just dislocated and won't go back in and my new tattoo Is still hurting a bit.  :(,1
1019,25894,5/10/2011 3:35,42.22508 93.37639,fighting fatigue eating apple to be awake!! hehe,0
1065,27266,5/12/2011 16:11,42.29702 93.51219,#dontyoujusthateitwhen you get the most paiinnfull cramps ever that you feel like your dying -.-,0
1134,28841,5/6/2011 7:51,42.22449 93.39836,i really need to get rid of my cold :-(&lt;/3,1
1150,29267,5/15/2011 2:56,42.20739 93.28493,making Royal Flush the last track on S.L.L is almost as good of an ending as I am to your night ladies #oldspiceshawty,0
1153,29391,5/2/2011 16:55,42.22154 93.36681,Smile though your heart is aching. Smile even though it's breaking. You'll find that life is still worth-while if you just smile,0
1163,29554,5/6/2011 7:34,42.23599 93.35283,Chuckie is teaching Lincoln how to hit the baseball with his new bat and ball set! He is doing well.,0
1173,29837,4/30/2011 18:20,42.2127 93.39436,is down with fever. My head hurts. Ouch! :(,1
1187,30273,5/8/2011 16:04,42.21152 93.37439,Corinthians  Fluminense is faster than you!,0
1193,30495,5/9/2011 7:29,42.26105 93.32127,One side of my nose is blocked  I'm only breathing through the other side );,1
1194,30510,5/3/2011 3:39,42.21388 93.35642,Morning tweeps! Refreshed after a weekend offline nwith the parents. Sometimes internet cold turkey can help!,0
1196,30537,5/4/2011 8:12,42.20651 93.33605,tonight is sooo colddddd....,0
1200,30601,5/13/2011 20:14,42.22685 93.37679,Toniight is too cold and tiring to do anything... Let's all lie down and be lazy with me :),0
1215,31068,5/7/2011 21:49,42.21447 93.35123,Stop  i just dance the way i feel. Stop breathin  imagine none of this is real  i just dance the way i feel. Oh i just dance the way i f,0
1219,31310,5/16/2011 0:08,42.22479 93.22102,#wenottogether & u can blame it on me  say it's my fault  say that I left you outside n the cold wit a broken heart. I really don't care,0
1223,31337,5/1/2011 22:36,42.1841 93.3037,In a home filled with prayer  God is tasted  prayer is as natural as breathing - Sister Magdalen,0
1229,31457,5/12/2011 0:14,42.21004 93.51139,Veles  Macedonia   an evening drive down from skopje through breathtaking mountain scenery  thls is goat and bee country. beautiful.,0
1238,31723,5/7/2011 8:24,42.21329 93.34164,I want to write about Coldplay headlining a Music Festival they've headline before!! I can use this to say that rock is NOT dead any mor,0
1267,32455,5/16/2011 15:06,42.21712 93.35083,As the proverb says; Hard work breathes... a harder soul,0
1278,32770,5/16/2011 11:06,42.23157 93.34564,Too humid. Can't breathe. Arghhhh! Kitchen cleaned. Another battle with fire ants won. Couch time. Oh yeah  support #Drones!,0
1308,33490,5/6/2011 1:12,42.17407 93.41673,I think my parents are trying to get me sick... this man . Ny father just coughed on me.... *stank face* germs!,1
1323,33818,5/11/2011 19:41,42.27255 93.46147,Voice is gone again from coaching grrrr #fb,0
1343,34361,4/30/2011 21:34,42.23746 93.49142,Why is it Aug 1st & its Cold Smh this is not ok,0
1353,34472,5/11/2011 20:54,42.25722 93.40355,I hope the air will serve to remind you that my heart is as cold as the clouds of your breath.,0
1386,35203,5/4/2011 1:37,42.19206 93.53855,Ugh.  Down with the flu. Becoming best buddies with my couch. Reality TV is almost bearable in a marathon.,1
1394,35351,5/8/2011 6:39,42.26518 93.38558,What I miss real bad is my students at IITK :( I would have been teaching them networking this sem...,0
1403,35594,5/6/2011 17:48,42.20533 93.34204,I have the worst headache..my head is pounding & I cnt sleep ugghh!!,1
1421,36078,5/15/2011 17:00,42.21329 93.34444,If I had you in the aftermath I couldnt let you go!~Cause you give me a fever knowing Im the sure fire winner~,0
1429,36320,5/2/2011 22:08,42.23157 93.51619,'Cause i'm cold as fire baby  hot as ice!if you've ever been to heaven this is TWICW AS NICE! Break it down! :D,0
1436,36561,5/11/2011 23:05,42.22803 93.29411,Hi all.... Does anyone know anyone who is fluent in Native American? I need a lyric recorded in Native American for this split vinyl pro,0
1441,36798,5/4/2011 0:11,42.23275 93.29212,oooohie! why is it so cold in here? 3:,0
1450,36966,5/6/2011 17:33,42.21122 93.3696,Bein stuck in traffic is worse then having cabin fever. Getting antsy feeling like I could knife security over the lack of traffic direc,0
1476,37621,5/13/2011 21:57,42.24366 93.33405,Cold Jumps Arctic 'Fence ' Stoking Winter's Fury,0
1486,37856,5/4/2011 17:41,42.24248 93.33965,huge headache. so big it's literally making my vision fuzzy. could be the fact that I haven't had any coffee today... ugh.,0
1487,37869,4/30/2011 0:34,42.22479 93.36321,What's the etiquette for going to work with a cold? Is it OK so long as you're doped up on meds and don't sneeze and cough?,1
1490,37947,5/7/2011 10:57,42.23157 93.33126,Man I'm on fire. Imma need a cold blooded broad who cook good n look good n ha draws just 2cool me off.,0
1495,38039,5/14/2011 12:30,42.22272 93.36641,Newsflash  its the mystery and the allure that sells us  not us knowing that your period is about to start and you have cramps early...u,0
1501,38227,5/5/2011 12:45,42.21063 93.39956,hands felt like they were about to fall off it was so cold i won't do that again anymore tomorrow im gonna make sure i have my gloves on,0
1523,38705,5/16/2011 21:25,42.22361 93.20305,MUSIC REVIEW; A Musical Exploration Of Insomnia and Oblivion,0
1544,39382,5/12/2011 21:16,42.27402 93.53536,All this debt has folks holding their breath in anticipation of disaster. Republicans understand need to start cutting spending today.,0
1557,39900,5/2/2011 15:38,42.20356 93.3688,The list of things better than an Ice Cold Beer is a short one.,0
1586,40534,5/6/2011 18:00,42.20326 93.38318,And the toilette is environmentally friendly! It has options on how much water to use when you flush so it conserves water &lt;3 :),0
1617,41166,5/16/2011 3:25,42.23275 93.27774,I hate it when the air is off and its too hot  but then I put the air on and within an hour it is so freaking cold! Why is there no midd,0
1625,41284,5/4/2011 3:09,42.20945 93.3696,Cabin fever is setting in. Getting tired of the heat outside and being stuck at home with a broke down vehicle. #fb,0
1654,42353,5/10/2011 21:48,42.19766 93.53975,The kitten is lost in the house... Again. I think she's mad about getting scolded for having bad table manners.,0
1656,42421,5/10/2011 18:28,42.17201 93.51459,is googling pictures of leona lewis. eh she's pretty la! like *cough* me! *cough*,0
1657,42422,5/15/2011 20:02,42.22449 93.36041,When Pneumonia Follows Severe Dementia,0
1662,42473,5/6/2011 1:59,42.21918 93.33325,BYE EVERYONE.. :) need to go to sleep  my head is aching.. :(,0
1664,42598,4/30/2011 19:44,42.21034 93.34963,Road to Flu Vaccine Shortfall  Paved With Undue Optimism,0
1692,43328,5/12/2011 6:42,42.2239 93.37959,was up for a good portion of the night because sister has stomach flu and bathroom is close to my room. #lame,1
1716,43951,5/2/2011 14:09,42.16788 93.50181,1 lady is perfect  2 ladies is ok  3 ladies is headache  4&gt; ladies is madness.... im speak like a man loey hah... :-P,0
1720,44009,5/8/2011 2:51,42.23953 93.53775,I need to preach soon....or I am literally going to explode!  I can't contain all that God is teaching me.  This is killing me. :) #fb,0
1739,44337,5/14/2011 18:20,42.21476 93.34644,#dontyoujusthateitwhen you get yourself cozied up in bed to drift asleep  after being tired for HOURS  only to find... hey  INSOMNIA!!,0
1746,44512,4/30/2011 21:15,42.21624 93.36121,IT IS COLD! VERY COLD! NICE!!!,0
1765,44768,5/5/2011 10:11,42.25427 93.53616,Disaster Prevention Mitigation Dept: 4 provinces still affected by flood  death toll reaches 257;15 provinces face extended cold spell :,0
1774,44992,5/13/2011 2:28,42.2295 93.35962,Wallace Shawn from 'Princess Bride' walked through security with me at DTW. I felt weird approaching so I stared at him instead lol,0
1806,45605,5/3/2011 16:16,42.23039 93.46306,| Enjoyed lunch and conversation with my friend Clarence Presley  now it's back to the dentist (with bad breath) for a little bit of wor,0
1814,45809,5/4/2011 20:07,42.23982 93.56132,NATIONAL BRIEFING | WEST; California: Pneumonia  Not Drugs  Killed Actor,0
1816,45815,5/1/2011 1:30,42.21034 93.37639,Sheet. This is why i hate flu . :,1
1825,45981,5/13/2011 10:20,42.23216 93.33006,why do we not have flying cars yet!? i blame the end of the cold war.,0
1832,46281,5/16/2011 2:07,42.23658 93.51658,my #1 goal for today  above all else......is to stay awake!! #upallnightwithfeverishgirl,0
1841,46575,5/2/2011 3:05,42.26223 93.44948,good morning people! Out with the flu finally but voice is hilarious!,1
1846,46686,5/16/2011 21:35,42.23599 93.36081,My fingers are about to fall off. Lifting off 52 pieces of glass in the freezing cold. Disaster.,0
1865,47134,5/11/2011 19:35,42.17791 93.40834,MIDEAST IN FLUX; An Israeli Cozies Up To Moscow,0
1874,47354,5/1/2011 4:28,42.22773 93.29251,Quite possibly the most sickening feeling on earth is reaching for your toothbrush only to find that its already wet.,0
1879,47462,5/2/2011 11:38,42.24277 93.33086,The second half of 'Fancy' is cooold..lol reminds of JT with the cold interludes and what not. But yeah the beat is inspiring yo,0
1913,48133,5/3/2011 12:50,42.25132 93.27654,Finally! Going back home. My feet is aching. And wooo! One of the workers at disney was cuyooote.,0
1926,48375,5/9/2011 4:22,42.20474 93.33885,My feet are cold but I'm too lazy to go and put some socks on. This is how the dinosaurs died out.,0
1953,48923,5/13/2011 20:29,42.25722 93.40195,coldness is coming.... :d :P,0
1957,49000,5/1/2011 0:54,42.26842 93.2326,Fatigue gives way to massive rally in the cleaning sector projections say gains are sustainable with room for further growth...,0
1965,49201,5/9/2011 7:46,42.24218 93.49102,Your life is your teaching  & it is lived with loving deeds  not with harsh unforgiving words:,0
1974,49418,5/6/2011 12:41,42.2124 93.34843,My awesome sis-in-law is teaching me how to tweet!,0
1978,49466,5/13/2011 21:47,42.2242 93.33166,Mowed the lawn in what felt like a lifetime. But on a brighter note  I purchased some Monster Beats headphones. Deafness is approaching,0
2003,50110,4/30/2011 23:16,42.28169 93.34723,Just walked by a fire breather  awesome homemade bikes  and a band singing about how pluto is still a planet.  Cool!,0
2020,50374,5/4/2011 13:52,42.27343 93.29012,I can't get over it. I can't believe some people. This girl is worse than Meth-Mite Barbie. Like... Grow up. #headache #rage,0
2024,50435,5/6/2011 2:52,42.20709 93.34444,#Random I fall asleep much better when its cold,0
2044,50942,5/2/2011 16:48,42.27049 93.56172,My stomach hurts the good ok gut is bubbling I've got a headache I'm taking a nap #seeyawheniseeya,1
2047,50994,5/7/2011 0:08,42.29732 93.2338,feet were so cold I could hardly feel them touching the floor as I ran back to my car.,0
2048,51020,5/15/2011 13:31,42.29024 93.22262,Eaking up sick with chills is no bueno. Virus at work going around =x,1
2056,51195,5/4/2011 20:25,42.2581 93.2318,GTS #1:  Your world is my world  And my fight is your fight  My breath is your breath  And your heart,0
2070,51486,5/16/2011 16:29,42.27579 93.34324,Deadline is coming up...upon reaching the line  I will make one big leap and a decision.,0
2073,51622,5/13/2011 16:36,42.19117 93.3021,Now that crook DeLay is off to jail  when does cold cash Jefferson (Democrat) get the same sentence? #tcot #p2,0
2082,51774,5/9/2011 14:44,42.27078 93.38518,really think chris carter is 'unwell' or 'mentally ill' as implied by his former party??,0
2086,51817,5/13/2011 22:08,42.21329 93.35283,#ihateitwhen the waiter drops off your food and walks away and you need something  now ur food is gettin cold waiting for them to come b,0
2089,51889,5/1/2011 17:38,42.26282 93.4359,have still got some cold  sore throat  etc. hope / need to get rid of it by the end of the week.,1
2090,51894,5/2/2011 17:06,42.23304 93.32646,is there a reason you are still breathing.? Idont think so.! Lol,0
2098,52149,5/1/2011 3:50,42.22538 93.33525,Now available at all ABC Centres...  INSOMNIA CURES  featuring tonight's Leaders Debate #debate #ausvotes,0
2124,52716,5/7/2011 0:41,42.22891 93.36002,Going to have a boiling hot shower because it is that effing cold,0
2125,52725,5/8/2011 20:51,42.27609 93.368,I walked the fields through the fire  Taking steps until I found solid ground  Followed dreams reaching higher... Couldn't survive the f,0
2136,52971,5/12/2011 19:49,42.21741 93.42552,As Schools Close Because of Flu  No Guidance on How to Rein It In,0
2138,53024,5/1/2011 0:04,42.29555 93.23979,This girl beside me is a joke her face is all Fanta Orange while her legs are all Coca-Cola #BadBleaching,0
2144,53153,5/3/2011 13:50,42.26901 93.37879,#ghettocrayoncolors diarrhea green,0
2157,53421,5/12/2011 18:54,42.27697 93.44709,#dontyoujusthateitwhen somebody breath stank and they know it is but they are still talkin to you??,0
2216,54961,5/6/2011 13:47,42.20709 93.35283,5 weeks into her Prime Ministership JULIA GILLARD says the real JULIA is going to come out . Seriously .. her inexperience is breathtaki,0
2224,55092,5/12/2011 20:20,42.22744 93.38039,It's safe to say I voted for the design of the can. I expected  to start breathing fire after 1st gulp of 'Fantastically Fiery' Ginger B,0
2232,55205,5/16/2011 15:02,42.25073 93.53576,#ghettocrayoncolors keep lickin yo lips wen its cold outside lips be ashy white N bleed koolaid red,0
2250,55536,4/30/2011 14:20,42.20621 93.36361,it is so very cold in my room. About to get in my warm bed though. Nighty Night!,0
2254,55587,5/12/2011 19:10,42.20651 93.33246,Is thinking if she should swim today. SIGH. The question is: Is the water cold today?,0
2302,56916,5/12/2011 16:08,42.16818 93.45587,I went grocery shopping today but cold pizza is what i want for lunchh,0
2320,57410,5/8/2011 22:45,42.22508 93.36681,PERSONAL JOURNEYS; A Long  Cold Climb to Inspiration,0
2322,57431,5/11/2011 11:23,42.22243 93.50181,Wah suddenly I become like so zao fan today then scold me. == Please lah is you suddenly come scold me. ==,0
2324,57551,5/1/2011 5:11,42.24896 93.4359,This flu is serious  can't remember last time I had to spend two days in bed...,1
2367,58762,5/3/2011 17:19,42.2239 93.38318,The Fall schedule is slowly  but surely coming together....breathe!!!!!,0
2375,58808,4/30/2011 13:46,42.19383 93.32886,And love is not a victory march it's a cold and it's a broken hallelujah,0
2377,58839,5/13/2011 16:19,42.26076 93.32287,Current temp is 98 with heat index of 109...and I have cold.  Yuck!,0
2383,59024,5/10/2011 21:13,42.22567 93.3684,Is cold as sh!t n this airport n I still got another 3hrs :(,0
2390,59145,5/2/2011 21:43,42.24336 93.27854,I don't wanna do laundry  but my mamma is breathing down my neck to do it : (,0
2406,59531,5/8/2011 19:07,42.20444 93.3712,Please tell me how its too cold for my sweater???,0
2407,59544,5/1/2011 22:58,42.25132 93.29571,i love doing course compass while running fever on my day off of school and work!! :/,0
2440,60269,5/15/2011 17:10,42.21417 93.33845,Thus  the sensation of a dull razor blade is actually its inability to remain flush with the skin surface.,0
2444,60287,5/15/2011 19:38,42.17437 93.4411,Fluttering Feet  and Now Fingers That Tweet,0
2481,61125,5/10/2011 6:45,42.2124 93.38478,this headache is killin me :P,1
2492,61351,5/3/2011 21:51,42.23363 93.32247,eiii...ice cweam paaa...ur head is painin u and u r takin in cold stuff...go and throw it away and come,0
2502,61717,5/10/2011 3:41,42.25486 93.53576,Apparently my ipod is in love with Coldplay cause its played 4 songs in a row even though its on shuffle,0
2524,62451,5/14/2011 19:56,42.21712 93.34564,Why is it when I try to scold my kids I mess up my words and it makes them laugh  then I have to try to keep a straight face. (o:,0
2527,62483,5/2/2011 8:35,42.28169 93.3017,ested my fitness this morning. flunk. if i do race 'cross  i may set a record for shortest time to getting lapped.,0
2553,63023,5/15/2011 20:50,42.287 93.37919,I am honest to god  cold. Seriously. The breeze is blowing  and I am FREEZING!,0
2557,63149,5/11/2011 17:10,42.23953 93.47105,My office is cold. My toes are always in danger of frosbite and/or falling off.,0
2564,63307,5/15/2011 1:14,42.22626 93.35722,Lots of cramps is how it went. So unbelievably out of shape.,0
2565,63313,5/13/2011 13:54,42.21682 93.33885,#dontyoujusthateitwhen your house is a bit cold but when you put a blanket on its too hot and you don't know whether to keep it on or of,0
2574,63626,5/5/2011 7:10,42.23511 93.32247,Praise God! My dad was able to go off the breathing machine! His bp went up but heart rate is still high. One step at a time.,1
2582,63740,5/7/2011 11:30,42.21077 93.32864,Ta-Da! This week is Finish Music Festival! This week  we are teaching our little gymnasts how to stick their landings with a smile!,0
2595,63947,5/11/2011 8:24,42.21771 93.35562,i need you but all you do is leave me in the cold.,0
2612,64294,5/6/2011 19:00,42.23334 93.25177,I need a new romance novel in my life right now. Clearly holding my breath waiting for Zane to pen Afterburn 2 is driving me bananas,0
2624,64465,5/9/2011 0:25,42.23363 93.34763,With a train fast approaching  some looney bin just jumped onto the tracks and yelled to his (ex?) girlfriend  'Is this what it takes?',0
2626,64494,5/4/2011 23:50,42.18734 93.52298,The Zew is Now playing 'Clocks' by 'Coldplay',0
2631,64607,5/13/2011 13:25,42.28258 93.33126,First thing I do when I get home is to find my panadol actifast.. Experiencing a splitting headache now. But there's still so much to do,1
2634,64665,5/3/2011 2:52,42.17967 93.3041,The second half of 'the dark side of the moon' is breathtaking. It touches something not of this earth. Gets me every time,0
2647,64855,5/8/2011 16:44,42.27668 93.4375,Credit card is reaching crisis proportions right before Christmas shopping. Packing lunches for a few months.,0
2686,65690,5/5/2011 16:08,42.19029 93.36401,Outside is cold,0
